name,type,district,status,total_coverage,unique_coverage,overlap_coverage,overlap_pct
Chitundu,Health Post,Machinga,Functional,25296.44482755661,7580.081530570984,17716.363296985626,70.03499273418198
Chiumbangame,Dispensary,Mangochi,Functional,20443.92929172516,8890.706060409546,11553.223231315613,56.511754988273566
Chiunda,Clinic,Mangochi,Functional,24394.39146900177,2992.332962036133,21402.058506965637,87.73352077325428
Chiunjiza,Health Centre,Lilongwe,Functional,3407.6829357147217,1278.5774688720703,2129.1054668426514,62.47956476608339
Chiwamba,Health Centre,Lilongwe,Functional,30736.991415977478,27764.416889190674,2972.574526786804,9.671000282876165
Kanandi Private Clinic,Clinic,Ntcheu,Functional,16638.176515579224,13596.878874778748,3041.297640800476,18.27903218812918
Chiwe,Health Centre,Lilongwe,Functional,23579.877782821655,14880.673037528992,8699.204745292664,36.892492935778414
Chiweta,Health Post,Chitipa,Functional,9343.27085340023,3079.6697174310684,6263.601135969162,67.03863383870215
Chiwoza,Health Centre,Lilongwe,Functional,38255.20405006409,26654.05634880066,11601.147701263428,30.325671995060222
Chiza,Clinic,Karonga,Functional,28149.706949710846,0.0,28149.706949710846,100.0
Vizimba Clinic,Clinic,Dedza,Functional,45204.37796354294,0.0,45204.37796354294,100.0
Chizolowondo,Health Centre,Dowa,Functional,11512.89139509201,9989.99512720108,1522.8962678909302,13.227748057626485
St. Marys,Clinic,Nkhata Bay,Functional,4619.824178695679,0.0,4619.824178695679,100.0
Chololo,Health Post,Mzimba,Functional,12426.812312602997,658.05073595047,11768.761576652527,94.70458940396895
Choma,Health Centre,Mzimba,Functional,5474.374219894409,5092.962295532227,381.4119243621826,6.967224180182906
Chombe,Dispensary,Nkhata Bay,Functional,13012.62670069933,6332.050872802734,6680.575827896595,51.339179871636254
Chonde,Hospital,Mulanje,Functional,51063.07183265686,336.1410427093506,50726.93078994751,99.34171402023962
Chonde,Clinic,Lilongwe,Non-functional,522457.1057780329,0.0,522457.1057780329,100.0
Chongoni,Dispensary,Dedza,Functional,16674.49300289154,11221.735652923584,5452.7573499679565,32.70118827014644
Chulu,Health Centre,Kasungu,Functional,11131.432312250137,11131.432312250137,0.0,0.0
City Health Assembly,Clinic,Lilongwe,Non-functional,410421.2111093309,0.0,410421.2111093309,100.0
City centre Clinic,Health Post,Lilongwe,Functional,317636.09677706053,0.0,317636.09677706053,100.0
Manicipality,Clinic,Zomba,Functional,132032.40988111496,0.0,132032.40988111496,100.0
Barracks,Hospital,Zomba,Functional,98314.69968032837,0.0,98314.69968032837,100.0
Come Again,Unclassified,Blantyre,Functional,230853.5927066803,0.0,230853.5927066803,100.0
Andiamo,Health Centre,Balaka,Functional,61833.66578221321,0.0,61833.66578221321,100.0
Mpinganjira,Clinic,Zomba,Functional,39309.747812747955,1017.3266983032227,38292.42111444473,97.41202435805678
Cumnock,Clinic,Nkhata Bay,Functional,6002.3768624812365,3463.9246694743633,2538.452193006873,42.290783320751686
Deayang,Hospital,Lilongwe,Functional,111345.52699726494,5445.448278903961,105900.07871836098,95.10941442754344
Dalirani Private Clinic,Clinic,Blantyre,Functional,254238.67844974995,0.0,254238.67844974995,100.0
Dalitso,Clinic,Dowa,Functional,32730.167236328125,295.8068389892578,32434.360397338867,99.0962257025655
Livingstonia,Clinic,Rumphi,Non-functional,8734.880236387253,4.017632007598877,8730.862604379654,99.95400472703835
David Livingston,Health Post,Lilongwe,Functional,442743.2854818646,0.0,442743.2854818646,100.0
Steve Gamgata,Dispensary,Blantyre,Functional,13068.519142150879,3019.3026151657104,10049.216526985168,76.89636765785248
Banja la mtsogolo,Clinic,Dedza,Non-functional,45745.408452034,0.0,45745.408452034,100.0
Dedza District Hospital,District Hospital,Dedza,Functional,45821.6424754858,0.0,45821.6424754858,100.0
Dedza Private Clinic,Unclassified,Dedza,Functional,45909.330926418304,210.45035791397095,45698.88056850433,99.54159567637508
Demule,Health Post,Mulanje,Functional,34676.889453172684,8346.795506954193,26330.09394621849,75.92980328231106
Destiny,Clinic,Nkhotakota,Functional,30983.788897156715,0.0,30983.788897156715,100.0
Diamphwe,Health Centre,Lilongwe,Functional,30826.687824249268,947.9208841323853,29878.766940116882,96.92499924242033
Dickson,Health Centre,Lilongwe,Functional,28557.517250061035,21719.811690330505,6837.70555973053,23.9436275214573
Discovery clinic,Clinic,Lilongwe,Functional,306079.4532035496,0.0,306079.4532035496,100.0
Dochas Medical Centre,Clinic,Ntcheu,Non-functional,22731.039754867554,0.0,22731.039754867554,100.0
Dolo,Health Centre,Chikwawa,Functional,19685.50618338585,19006.598690271378,678.9074931144714,3.4487682805304494
Domasi College Clinic,Dispensary,Zomba,Functional,0.0,0.0,0.0,0.0
Ginisi,Hospital,Zomba,Functional,40583.31018638611,1610.834333896637,38972.47585248947,96.0307960920423
Dopa,Clinic,Lilongwe,Non-functional,299027.94727707654,0.0,299027.94727707654,100.0
Doviko,Dispensary,Ntcheu,Functional,12315.835229873657,10858.928129196165,1456.907100677492,11.829543619937159
Dowa DHO,District Hospital,Dowa,Functional,23746.622448921204,0.0,23746.622448921204,100.0
Dowela,Clinic,Mzimba,Non-functional,40002.21173477173,0.0,40002.21173477173,100.0
Ghumra,Clinic,Lilongwe,Non-functional,419460.4164593909,0.0,419460.4164593909,100.0
Chilemba,Clinic,Blantyre,Functional,413937.94161233306,0.0,413937.94161233306,100.0
Dr. Dzinyemba,Clinic,Blantyre,Functional,433689.80412837863,0.0,433689.80412837863,100.0
Lorgat,Clinic,Lilongwe,Non-functional,437782.51974594034,0.0,437782.51974594034,100.0
Dr. Msachi,Clinic,Mzimba,Functional,192890.41969838366,0.0,192890.41969838366,100.0
Dr. Kidys,Hospital,Blantyre,Functional,434995.73532506824,0.0,434995.73532506824,100.0
kampondeni,Hospital,Blantyre,Functional,316777.04043388367,0.0,316777.04043388367,100.0
Dwambazi,Hospital,Nkhotakota,Functional,15313.093536615372,82.19137835502625,15230.902158260345,99.46326078294699
Banja lamtsogolo,Clinic,Nkhotakota,Functional,30825.15665280819,0.0,30825.15665280819,100.0
Cane growers Clinic,Clinic,Nkhotakota,Functional,27907.439092040062,0.0,27907.439092040062,100.0
Dwangwa,Dispensary,Kasungu,Functional,10130.920291900635,8941.735399246216,1189.184892654419,11.738172430446783
Dzabwa,Health Post,Lilongwe,Non-functional,24703.958715438843,9179.210754394531,15524.747961044312,62.843158620330975
Kapombeza,Health Centre,Lilongwe,Functional,1036.9709005355835,550.7861471176147,486.18475341796875,46.88509129493026
Dzaleka,Health Centre,Dowa,Functional,35358.38661193848,596.8691754341124,34761.517436504364,98.31194454095204
Dzenje,Health Centre,Mulanje,Functional,31015.64062857628,11799.392077207565,19216.248551368713,61.95663917276566
ku mission,Health Centre,Lilongwe,Functional,239731.44950082712,32.26958084106445,239699.17991998605,99.98653927930263
DiDi,Health Centre,Thyolo,Functional,40709.74422621727,0.0,40709.74422621727,100.0
Dzimbiri Health Post,Health Post,Thyolo,Functional,40503.494211912155,270.4753472805023,40233.01886463165,99.33221725052809
Dzindevu,Health Centre,Dedza,Functional,19821.313583374023,7528.439937591553,12292.87364578247,62.018461057463135
Dziwe,Health Centre,Blantyre,Functional,10121.151010513306,8571.839777946472,1549.3112325668335,15.307658496128479
Dzonzi Mvai,Dispensary,Ntcheu,Functional,10883.867353439331,4976.812309265137,5907.055044174194,54.27349353267843
Dzoole,Health Centre,Dowa,Functional,24213.44369649887,19537.344680786133,4676.099015712738,19.311994916232734
Dzunje,Health Centre,Ntcheu,Functional,22410.85123872757,7903.003520011902,14507.847718715668,64.73581732426594
Ebenezer private clinic,Clinic,Blantyre,Functional,356328.201957494,0.0,356328.201957494,100.0
Edingeni,Hospital,Mzimba,Functional,8582.401489257812,8582.401489257812,0.0,0.0
Ehehleni,Dispensary,Mzimba,Functional,10249.057424545288,10205.072896957397,43.984527587890625,0.4291568069718572
EKARI,Clinic,Ntcheu,Non-functional,38999.63479375839,0.0,38999.63479375839,100.0
Ekhamuno,Health Post,Mulanje,Functional,47348.22737276554,0.0,47348.22737276554,100.0
Ekwaiweni,Dispensary,Mzimba,Functional,12359.803593158722,5419.090034484863,6940.713558673859,56.1555327830259
Ekwendeni near Market,Hospital,Mzimba,Functional,22136.602701425552,11.18366813659668,22125.419033288956,99.9494788415032
El_ Barakah Private clinic,Clinic,Blantyre,Functional,28876.822202563286,231.54012441635132,28645.282078146935,99.19818003936804
Eldorado,Clinic,Mulanje,Functional,42295.083822250366,0.0,42295.083822250366,100.0
Elim Private Clinic,Clinic,Blantyre,Functional,268139.1842481792,0.0,268139.1842481792,100.0
Elizabeth Glazer Private Clinic,Clinic,Chitipa,Functional,41736.65290105343,0.0,41736.65290105343,100.0
Embangweni,Hospital,Mzimba,Functional,17333.340480804443,17246.142881393433,87.19759941101074,0.5030628660850254
Emfeni,Health Centre,Mzimba,Functional,11992.405624389648,11992.405624389648,0.0,0.0
Emsizini,Health Centre,Mzimba,Functional,12905.74064207077,10405.987207889557,2499.7534341812134,19.36931404023721
Endindeni,Health Centre,Mzimba,Functional,6802.9831199646,6802.9831199646,0.0,0.0
Engucwini,Health Centre,Mzimba,Functional,12436.860884666443,50.63194274902344,12386.22894191742,99.59288808310586
Enukweni,Health Centre,Mzimba,Functional,20695.09709405899,0.0,20695.09709405899,100.0
Escom,Clinic,Lilongwe,Functional,429455.255531637,0.0,429455.255531637,100.0
Escom,Clinic,Mzimba,Functional,186545.87130263075,0.0,186545.87130263075,100.0
esparanza,Clinic,Mulanje,Non-functional,48641.274993777275,0.0,48641.274993777275,100.0
Euthini,Hospital,Mzimba,Functional,17994.383406877518,8590.648852825165,9403.734554052353,52.25927636096834
F and M Private Clinic,Clinic,Nkhotakota,Functional,18603.605989933014,387.6529555320739,18215.95303440094,97.91624830292662
Family Choice Private Clinic,Clinic,Chitipa,Functional,41454.51495397091,0.0,41454.51495397091,100.0
Family Health clinic,Clinic,Blantyre,Functional,408216.7266087234,0.0,408216.7266087234,100.0
Family healthcare Private clinic,Clinic,Lilongwe,Non-functional,488102.8374630753,0.0,488102.8374630753,100.0
FPAM,Dispensary,Dowa,Functional,24754.843420028687,0.0,24754.843420028687,100.0
FPAM,Clinic,Ntcheu,Functional,38597.08125543594,478.4634685516357,38118.61778688431,98.76036360007339
Fancy Private Clinic,Clinic,Ntchisi,Non-functional,29233.65532374382,280.14420199394226,28953.511121749878,99.04170655741977
Fanuel,Dispensary,Mchinji,Functional,2099.2911624908447,2099.2911624908447,0.0,0.0
Fomo,Clinic,Mulanje,Functional,47620.81354308128,0.0,47620.81354308128,100.0
Fpam,Health Post,Lilongwe,Functional,106586.45292284712,226.85709810256958,106359.59582474455,99.78716141509393
Kawale FPAM,Clinic,Lilongwe,Functional,518792.58027368225,0.0,518792.58027368225,100.0
Mtengowanthenga,Hospital,Dowa,Functional,24530.128362178802,0.0,24530.128362178802,100.0
Fulirwa,Health Centre,Karonga,Functional,9512.240320682526,989.2731599807739,8522.967160701752,89.59999824825924
Gaga,Health Centre,Chikwawa,Functional,15088.524193763733,11125.611080169678,3962.913113594055,26.264418326823336
Kachi,Clinic,Lilongwe,Non-functional,297779.57567226514,0.0,297779.57567226514,100.0
Ganya,Health Centre,Ntcheu,Functional,22958.221725940704,863.9504442214966,22094.271281719208,96.23685817423171
Gateway Dispensary,Dispensary,Blantyre,Functional,401910.4823716581,0.0,401910.4823716581,100.0
Gatrad Mahomed I,Hospital,Blantyre,Functional,433581.604652375,0.0,433581.604652375,100.0
Gawanani,Health Centre,Machinga,Functional,15792.592077255249,12283.542961359024,3509.049115896225,22.2195894045159
Gika Clinic,Clinic,Lilongwe,Functional,324986.66522509605,0.0,324986.66522509605,100.0
Girach,Hospital,Blantyre,Functional,430080.8431869447,0.0,430080.8431869447,100.0
Glenorchy,Clinic,Mulanje,Non-functional,41705.09989619255,0.0,41705.09989619255,100.0
GM Opticals,Clinic,Blantyre,Functional,44224.61520767212,0.0,44224.61520767212,100.0
Gobede,Clinic,Lilongwe,Non-functional,37820.967742204666,49.119821548461914,37771.847920656204,99.87012542385676
chione,Clinic,Kasungu,Functional,19674.217846393585,4094.097994327545,15580.11985206604,79.19054253494494
Gogode,Dispensary,Kasungu,Functional,10397.985993385315,10397.985993385315,0.0,0.0
Gola,Health Centre,Chikwawa,Functional,5190.683633327484,5165.305488109589,25.378145217895508,0.4889172026388144
Golomoti,Health Centre,Dedza,Functional,25217.60425233841,25211.523253440857,6.08099889755249,0.024114102341774215
Gombe,Health Centre,Thyolo,Functional,30944.88396334648,3327.4740450382233,27617.409918308258,89.24709477347034
Kasangamale,Health Post,Karonga,Functional,9464.238138437271,5351.378916978836,4112.859221458435,43.456844188596754
Good Health,Dispensary,Lilongwe,Functional,103581.88928094739,0.0,103581.88928094739,100.0
Good Hope,Dispensary,Lilongwe,Functional,381568.0802993849,0.0,381568.0802993849,100.0
Gotha Dispensary,Dispensary,Thyolo,Non-functional,26930.821897506714,4914.666674613953,22016.15522289276,81.7507735437181
Gotha Estate Clinic,Clinic,Thyolo,Functional,24280.294093579054,0.0,24280.294093579054,100.0
Gowa,Health Centre,Ntcheu,Functional,16861.779227733612,5898.476188659668,10963.303039073944,65.01866078902232
Gowoka,Health Post,Mzimba,Functional,6201.59881401062,3196.20641040802,3005.3924036026,48.46157408332885
Grecious,Clinic,Chikwawa,Non-functional,37970.98418518156,0.0,37970.98418518156,100.0
Gumba,Dispensary,Mchinji,Functional,10968.070078372955,95.49117851257324,10872.578899860382,99.1293711853568
Gwaza,Clinic,Lilongwe,Non-functional,467499.52881650627,0.0,467499.52881650627,100.0
H Parker,Health Centre,Zomba,Functional,24924.91338801384,2308.977605819702,22615.935782194138,90.73626628155078
H.M.C Private Clinic,Clinic,Mangochi,Non-functional,15594.7437915802,1284.0930786132812,14310.650712966919,91.76585972956748
Ntambanyama,Health Centre,Thyolo,Functional,41675.75505709648,0.0,41675.75505709648,100.0
Bundi,Dispensary,Karonga,Functional,22406.598227500916,0.0,22406.598227500916,100.0
Hasco Clinic,Clinic,Blantyre,Functional,414524.3198032081,0.0,414524.3198032081,100.0
Healing Hearts,Clinic,Blantyre,Functional,88279.52711629868,0.0,88279.52711629868,100.0
Henred,Clinic,Blantyre,Functional,365947.72698506713,0.0,365947.72698506713,100.0
Hiwa Clinic,Clinic,Thyolo,Non-functional,58587.07105731964,0.0,58587.07105731964,100.0
Dr Hiwa,Clinic,Lilongwe,Non-functional,365677.56272994913,0.0,365677.56272994913,100.0
Hoho,Health Centre,Mzimba,Functional,8551.273258686066,7731.292332172394,819.9809265136719,9.588992208625372
Banja loyera,Hospital,Phalombe,Functional,39911.98973941803,4649.703241348267,35262.28649806976,88.3501091483893
Hope Medical centre,Health Centre,Blantyre,Functional,75.24223804473876,0.0,75.24223804473876,100.0
Hope,Dispensary,Chikwawa,Non-functional,23985.020173072815,3355.9689226150513,20629.051250457764,86.00806295596664
Area 36 private clinic,Dispensary,Lilongwe,Functional,507749.4092219621,0.0,507749.4092219621,100.0
Hunger,Clinic,Zomba,Non-functional,31578.05052626133,0.0,31578.05052626133,100.0
Hunger Clinic,Health Centre,Chikwawa,Functional,38852.12485393137,0.0,38852.12485393137,100.0
Iba dispensery,Clinic,Mangochi,Functional,11321.074919700623,9558.29304599762,1762.781873703003,15.570799470953581
Ifumbo,Health Centre,Chitipa,Functional,8572.255447149277,7916.827597141266,655.4278500080109,7.645920657042189
Ighughu,Health Post,Chitipa,Functional,9503.018673658371,2194.8090522289276,7308.209621429443,76.90408566371897
Internals,Clinic,Kasungu,Non-functional,15523.78331232071,0.0,15523.78331232071,100.0
Iponga,Health Centre,Karonga,Functional,13817.12793457508,12602.56547653675,1214.56245803833,8.790267150954637
ITES,Clinic,Mchinji,Functional,42822.69104909897,0.0,42822.69104909897,100.0
Itulo,Clinic,Chitipa,Non-functional,4594.700629711151,1636.7525231838226,2957.9481065273285,64.3773848376555
Iyela,Clinic,Chitipa,Non-functional,41082.653130054474,0.0,41082.653130054474,100.0
Jalasi,Clinic,Mangochi,Functional,30986.43639934063,14690.124587416649,16296.31181192398,52.59175854203988
Jalawe,Health Centre,Rumphi,Functional,9392.968962669373,743.5302214622498,8649.438741207123,92.08418313296602
Jenda,Health Centre,Mzimba,Functional,21911.02795267105,0.0,21911.02795267105,100.0
Jeofia Private Clinic,Clinic,Thyolo,Non-functional,54381.40679335594,0.0,54381.40679335594,100.0
Medicare,Clinic,Blantyre,Functional,435635.50000986457,0.0,435635.50000986457,100.0
Jti Leaf Clinic,Dispensary,Lilongwe,Functional,175695.05554235727,0.0,175695.05554235727,100.0
Joy Private Clinic,Clinic,Chitipa,Functional,41009.596692085266,311.44021117687225,40698.156480908394,99.24056748591
Jumpha,Clinic,Mchinji,Non-functional,24609.63847208023,291.614191532135,24318.024280548096,98.81504073347939
Kabota,Clinic,Lilongwe,Non-functional,248964.8183318847,1117.681090593338,247847.13724129135,99.55106866179646
Kabudula,Hospital,Lilongwe,Functional,26046.0934715271,1796.9859294891357,24249.107542037964,93.10074683002442
Kabuwa,Health Centre,Mzimba,Functional,21371.43564391136,2278.089767932892,19093.34587597847,89.34049258135866
Kabwafu,Health Centre,Mzimba,Functional,4342.513656139374,4065.527280330658,276.9863758087158,6.378480247658337
Kachepa,Clinic,Lilongwe,Non-functional,542508.6818407793,0.0,542508.6818407793,100.0
kachere,Clinic,Lilongwe,Functional,527464.1536633689,0.0,527464.1536633689,100.0
Kachere,Health Centre,Nkhata Bay,Functional,27527.396334707737,44.59024429321289,27482.806090414524,99.83801503145799
Kachere Rehabilitation,Hospital,Blantyre,Functional,408753.78667494655,0.0,408753.78667494655,100.0
Kachindamoto,Health Post,Dedza,Functional,29246.59365606308,1701.06862449646,27545.52503156662,94.18370342713804
Kadango,Clinic,Mangochi,Functional,12108.306972056627,6706.800109863281,5401.506862193346,44.60992667809682
Kadango Private Clinic.,Clinic,Thyolo,Non-functional,54327.94395947456,0.0,54327.94395947456,100.0
Kadidi,Health Centre,Blantyre,Functional,47368.042284846306,0.0,47368.042284846306,100.0
Kafere,Health Centre,Dedza,Functional,16035.497595787048,13379.18580532074,2656.3117904663086,16.5651971483828
Kafodya,Clinic,Lilongwe,Non-functional,540579.0180815626,0.0,540579.0180815626,100.0
Kafukule,Health Centre,Mzimba,Functional,10916.59585571289,5966.244109153748,4950.351746559143,45.3470276997432
Kaigwazanga,Health Centre,Mchinji,Functional,17061.510743141174,10101.90027141571,6959.610471725464,40.791290856369606
Kakoma,Health Centre,Chikwawa,Functional,18101.102532863617,12287.803870677948,5813.298662185669,32.11571588874922
Kalemba,Health Centre,Nsanje,Functional,28387.867303967476,788.349024772644,27599.518279194832,97.2229367696725
Kalembo,Health Centre,Balaka,Functional,32276.56776022911,4616.923895359039,27659.64386487007,85.69574085554422
Kalikene,Clinic,Kasungu,Functional,76417.67584514618,0.0,76417.67584514618,100.0
Kalikumbi,Health Centre,Mzimba,Functional,9701.216146469116,9701.216146469116,0.0,0.0
Kalimanjira,Health Centre,Ntcheu,Functional,21585.61500453949,10940.422287940979,10645.19271659851,49.3161427847194
Kalinde,Health Centre,Phalombe,Functional,32824.61042070389,21680.09973716736,11144.51068353653,33.95169216237585
Near Kalira school,Health Post,Chitipa,Functional,7511.703170537949,4552.833130121231,2958.8700404167175,39.3901352761363
Luchenza Private clinic,Clinic,Thyolo,Non-functional,54552.25286388397,0.0,54552.25286388397,100.0
Kaloga,Clinic,Ntcheu,Non-functional,25063.365795135498,222.76887893676755,24840.59691619873,99.11117732248074
Kalong - Limbe,Hospital,Blantyre,Functional,377872.84711021185,0.0,377872.84711021185,100.0
Kalulu,Health Centre,Dedza,Functional,9890.744439125061,5367.573925971985,4523.170513153076,45.73134551187734
Kaluluma,Hospital,Kasungu,Functional,22826.240545272827,821.9642720222473,22004.27627325058,96.39903789504018
Tachira,Clinic,Lilongwe,Non-functional,203187.35528349876,0.0,203187.35528349876,100.0
Kamanda,Health Post,Mzimba,Functional,635.3573014736176,626.7461755275726,8.611125946044922,1.3553202152666988
Hossana clinic,Clinic,Nkhotakota,Functional,45613.6505253315,40.43538284301758,45573.21514248848,99.9113524517829
Kamatenda pvt clinic,Clinic,Lilongwe,Functional,503737.71209277026,113.87556505203247,503623.83652771823,99.97739387734562
Kambanizithe,Health Post,Lilongwe,Non-functional,20587.20164680481,17668.513518333435,2918.6881284713745,14.177196971907849
Kambenje,Health Centre,Mulanje,Functional,28229.906246185303,22476.049707889557,5753.856538295746,20.382131233869266
Kambilonjo,Clinic,Ntcheu,Non-functional,23441.03138065338,924.4908475875853,22516.540533065796,96.0560999532188
Kambiya,Clinic,Lilongwe,Non-functional,24892.914771080017,128.39742755889893,24764.517343521118,99.48420091122448
Kamboni,Health Centre,Kasungu,Functional,6569.662930488586,6569.662930488586,0.0,0.0
Kameme,Health Centre,Chitipa,Functional,7521.7005660533905,7521.7005660533905,0.0,0.0
Kims,Clinic,Lilongwe,Non-functional,424563.1468257364,0.0,424563.1468257364,100.0
Kampanje,Health Centre,Ntcheu,Functional,20758.773720741272,1544.2650623321533,19214.50865840912,92.56090420799187
Kamphata,Health Post,Nsanje,Functional,21137.28839635849,0.0,21137.28839635849,100.0
Kamphoni,Health Post,Lilongwe,Functional,18959.61171913147,11859.529821395874,7100.081897735596,37.448456239065045
Kampini,Health Post,Lilongwe,Non-functional,37442.455554008484,17343.254293441772,20099.20126056671,53.68024335790377
Kamsonga,Health Centre,Ntchisi,Functional,18165.92190504074,14510.558678627014,3655.363226413727,20.12209039277783
Kamteteka,Health Centre,Mzimba,Functional,10687.638631105423,9523.081765651703,1164.55686545372,10.89629716768661
Kamuzu Academy clinic,Clinic,Kasungu,Non-functional,14195.38714504242,522.4888725280762,13672.898272514343,96.31930522789193
Kamuzu Barracks,Hospital,Lilongwe,Functional,387913.1435585413,0.0,387913.1435585413,100.0
Central,Central Hospital,Lilongwe,Functional,392061.26616340317,0.0,392061.26616340317,100.0
Kamwe,Health Centre,Mzimba,Functional,7712.351411819458,6970.238633155823,742.1127786636353,9.622393211055199
Kamwendo,Health Post,Mulanje,Functional,21465.974104881287,6362.681487560272,15103.292617321014,70.35922312925264
Mdeza,Dispensary,Dedza,Functional,17677.354454040527,0.0,17677.354454040527,100.0
Kande,Health Centre,Nkhata Bay,Functional,13275.177587509155,8322.598997592926,4952.578589916229,37.3070609207985
Kandeu,Health Centre,Ntcheu,Functional,23036.58106470108,55.037620544433594,22981.543444156647,99.76108598585071
Kanengo Tobacco and Processors Clinic,Clinic,Lilongwe,Non-functional,211558.4861939624,32.8009033203125,211525.68529064208,99.98449558610935
Kang'oma,Health Centre,Lilongwe,Functional,34111.99472987652,14070.257999897003,20041.736729979515,58.75275511937811
Songeya,Health Centre,Ntchisi,Functional,19319.797894001007,16307.788965702057,3012.00892829895,15.590271413937561
Kanjedza Medical Clinic,Clinic,Blantyre,Functional,406325.4509705007,0.0,406325.4509705007,100.0
Kanjeza Police dispensary,Dispensary,Blantyre,Functional,375886.24789103866,0.0,375886.24789103866,100.0
Kankao,Health Centre,Balaka,Functional,16386.536727905273,10943.33632183075,5443.200406074524,33.217515674346764
Kanyama,Health Centre,Dedza,Functional,24978.11901807785,15761.119460582733,9216.999557495117,36.900294817333275
Kanyenjere,Health Post,Chitipa,Functional,8810.7803003788,1939.2718214988708,6871.508478879929,77.98978347677678
Kanyerere,Health Post,Dedza,Non-functional,6407.196398675442,2121.979228913784,4285.217169761658,66.88131443336964
Stuka Private Clinic,Clinic,Mangochi,Non-functional,82853.30346268415,0.0,82853.30346268415,100.0
Kanyezi,Health Centre,Dedza,Functional,32792.49959421158,11820.581862926483,20971.917731285095,63.95339785255951
Kanyika,Clinic,Dowa,Functional,45478.04536437988,0.0,45478.04536437988,100.0
Kanyimbi,Health Post,Nsanje,Functional,2304.3003964424133,2304.3003964424133,0.0,0.0
Kanyunya,Clinic,Mzimba,Non-functional,22423.398386478424,0.0,22423.398386478424,100.0
Kaongozi,Dispensary,Nkhotakota,Functional,11977.568281650543,9315.416311264038,2662.151970386505,22.226147309591067
Kapanga,Health Centre,Mchinji,Functional,25056.712102890015,23986.869114875793,1069.8429880142212,4.269686236650445
Kapangamawe,Health Post,Mzimba,Functional,6445.19139289856,2455.1317744255066,3990.059618473053,61.907542774748016
Kapelula,Health Centre,Kasungu,Functional,18493.41663324833,14704.19920027256,3789.217432975769,20.489547757029044
Kapenda,Health Centre,Chitipa,Functional,10235.81432056427,10235.81432056427,0.0,0.0
Kapeni Dream Centre,Clinic,Blantyre,Functional,39023.29365634918,6262.341306209564,32760.952350139618,83.95229946155335
Kapeni,Clinic,Ntcheu,Functional,15145.899267196655,942.5473766326904,14203.351890563965,93.77688072523972
Kapesi,Clinic,Dedza,Non-functional,44863.665395736694,0.0,44863.665395736694,100.0
Mission,Health Centre,Salima,Functional,29317.14433002472,3878.1606755256653,25438.983654499054,86.77169702523207
Kaphuka,Health Centre,Dedza,Functional,27012.408160686493,17000.620614528656,10011.787546157837,37.06366158323071
Egenco Clinic,Clinic,Chikwawa,Functional,3756.954533100128,1078.0175652503967,2678.9369678497314,71.30607901286342
Kapiri,Health Centre,Nkhotakota,Functional,27883.488545417786,0.0,27883.488545417786,100.0
Kapire,Clinic,Mangochi,Functional,17997.539577245712,0.0,17997.539577245712,100.0
Our Lady of Mount Carmel,Hospital,Mchinji,Functional,527.0385003089905,2.142432928085327,524.8960673809052,99.59349593495935
Kapoka,Health Post,Chitipa,Non-functional,8384.49005639553,2717.651746869087,5666.8383095264435,67.58715522840755
Kibwe,Hospital,Karonga,Functional,33651.21466708183,15295.814026772976,18355.400640308857,54.54602700646169
kaputalambwe,Health Post,Dowa,Functional,22684.979609012604,268.45043373107904,22416.529175281525,98.816615935487
Kapyanga,Health Centre,Kasungu,Functional,8613.64414358139,8613.64414358139,0.0,0.0
BLM,Clinic,Karonga,Functional,68773.98755335808,0.0,68773.98755335808,100.0
Chaboma,District Hospital,Karonga,Functional,69772.30572390556,66.73810315132141,69705.56762075424,99.90434872051468
Karopa,Health Post,Chitipa,Functional,5241.125896692276,4073.7541534900665,1167.3717432022095,22.27330093213271
Kasalika,Health Centre,Kasungu,Functional,76694.99773740768,0.0,76694.99773740768,100.0
Kasalika Private Clinic,Clinic,Kasungu,Non-functional,76547.0377202034,1064.5279378890991,75482.5097823143,98.60931530521117
Kasamba Private Clinic,Clinic,Blantyre,Functional,197670.55980551243,0.0,197670.55980551243,100.0
Kasambala,Clinic,Rumphi,Functional,8117.359177112579,5.347394943237305,8112.011782169342,99.93412395797004
Kasasa,Clinic,Nkhotakota,Functional,20961.17067539692,1696.5667521953583,19264.60392320156,91.9061450409032
Kasembereka Dispensary,Dispensary,Thyolo,Non-functional,38179.4143178463,0.0,38179.4143178463,100.0
Kasese,Health Centre,Dowa,Functional,18860.57412171364,11170.807938575745,7689.766183137894,40.77164424324118
Kaseye,Hospital,Chitipa,Functional,8905.274208188057,349.5534074306488,8555.720800757408,96.07475975181934
Kasina,Health Centre,Dedza,Functional,29298.388338565826,1245.5870566368103,28052.801281929016,95.74861578649625
Kasinje,Health Centre,Ntcheu,Functional,25891.827469825745,25891.827469825745,0.0,0.0
kasinthula,Dispensary,Chikwawa,Non-functional,26482.155721008778,9.155389785766602,26473.00033122301,99.96542807963891
Seventh day,Health Centre,Nkhotakota,Functional,12350.011234760284,10773.033996105194,1576.9772386550903,12.769034850887726
ZMK medical centre,Clinic,Lilongwe,Non-functional,271194.74645985663,0.0,271194.74645985663,100.0
Kasoba,Health Centre,Karonga,Functional,27507.039863705635,6444.590695738792,21062.449167966843,76.57112241931145
Kasonkhwe clinic,Health Post,Rumphi,Functional,5629.1875257492065,639.6192803382874,4989.568245410919,88.63744941143779
